,Andorra,Argentina,Aruba,Australia,Austria,Bahamas,Bahrain,Barbados,Belgium,Benin,Bermuda,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Congo,Costa Rica,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Guadeloupe,Guam,Guatemala,Guyana,Honduras,Hungary,Iceland,India,Indonesia,Iran,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Malta,Martinique,Mexico,Moldova,Monaco,Montenegro,Morocco,Mozambique,Netherlands,New Caledonia,New Zealand,Nigeria,Norway,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Saint Martin (French part),San Marino,Saudi Arabia,Serbia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sudan,Sweden,Switzerland,Thailand,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Venezuela,Vietnam
2022-05-01 00:00:00,0.0,11443.0,0.0,272054.0,5225.0,17.0,339.0,217.0,4386.0,0.0,0.0,0.0,24.0,14122.0,263.0,0.0,4520.0,0.0,2298.0,18064.0,236.0,0.0,0.0,797.0,191.0,0.0,0.0,747.0,0.0,934.0,64.0,325.0,0.0,0.0,142.0,2518.0,49482.0,72.0,34029.0,10.0,0.0,6718.0,0.0,0.0,0.0,879.0,0.0,0.0,0.0,51.0,3324.0,244.0,532.0,959.0,1621.0,54017.0,84.0,25425.0,0.0,156.0,101.0,0.0,271.0,571.0,120.0,0.0,547.0,0.0,9.0,77.0,46.0,0.0,1605.0,0.0,6683.0,0.0,107.0,939.0,421.0,629.0,251.0,234.0,13487.0,4476.0,42.0,887.0,7047.0,0.0,11.0,90.0,521.0,4249.0,737.0,489.0,6527.0,19973.0,19657.0,11.0,0.0,178.0,1504.0,11535.0,1772.0,299.0,261.0,10012.0,80656.0,1856.0,34.0,3717.0
2022-05-02 00:00:00,0.0,0.0,0.0,0.0,4445.0,20.0,385.0,518.0,2425.0,5.0,0.0,0.0,16.0,15194.0,242.0,0.0,9934.0,0.0,2385.0,18357.0,264.0,11.0,0.0,523.0,190.0,0.0,0.0,479.0,128.0,671.0,22.0,247.0,322.0,0.0,110.0,1248.0,36726.0,51.0,15854.0,6.0,0.0,5361.0,0.0,0.0,0.0,678.0,16.0,0.0,2183.0,38.0,3157.0,168.0,655.0,721.0,2349.0,41591.0,104.0,23197.0,225.0,72.0,89.0,0.0,118.0,465.0,114.0,0.0,242.0,547.0,1.0,66.0,20.0,0.0,1318.0,66.0,9113.0,37.0,86.0,932.0,0.0,695.0,186.0,188.0,8970.0,2405.0,53.0,492.0,6207.0,0.0,1.0,99.0,342.0,1336.0,150.0,244.0,3838.0,51105.0,8499.0,35.0,0.0,101.0,1023.0,9331.0,1480.0,200.0,240.0,8354.0,25939.0,0.0,20.0,3123.0
2022-05-03 00:00:00,0.0,0.0,0.0,0.0,3908.0,4.0,279.0,369.0,1217.0,0.0,0.0,191.0,18.0,6263.0,228.0,0.0,3372.0,0.0,1505.0,23622.0,0.0,0.0,0.0,47.0,155.0,0.0,0.0,2027.0,0.0,780.0,55.0,0.0,0.0,0.0,560.0,1256.0,8737.0,0.0,86948.0,11.0,0.0,2877.0,0.0,0.0,0.0,65.0,9.0,0.0,0.0,68.0,2568.0,107.0,697.0,188.0,2454.0,19068.0,133.0,27062.0,0.0,384.0,41.0,0.0,268.0,25.0,175.0,0.0,222.0,0.0,28.0,45.0,11.0,0.0,1291.0,166.0,8520.0,13.0,465.0,700.0,0.0,586.0,133.0,890.0,4772.0,741.0,73.0,528.0,5466.0,0.0,40.0,128.0,396.0,1570.0,765.0,461.0,2650.0,49045.0,7251.0,18.0,0.0,263.0,2994.0,9721.0,1344.0,0.0,222.0,9033.0,26774.0,0.0,109.0,2709.0
2022-05-04 00:00:00,0.0,0.0,272.0,0.0,5541.0,19.0,357.0,44.0,7230.0,0.0,53.0,23.0,30.0,6498.0,720.0,0.0,5769.0,0.0,1129.0,28850.0,0.0,0.0,0.0,549.0,109.0,295.0,0.0,1650.0,0.0,993.0,52.0,207.0,0.0,0.0,258.0,4175.0,56086.0,0.0,106662.0,9.0,0.0,4659.0,0.0,0.0,130.0,21.0,2.0,539.0,0.0,53.0,3205.0,176.0,571.0,784.0,2422.0,62409.0,39.0,26720.0,0.0,424.0,33.0,3.0,250.0,418.0,158.0,0.0,857.0,0.0,51.0,64.0,20.0,0.0,1755.0,0.0,8630.0,0.0,333.0,538.0,0.0,684.0,158.0,173.0,13556.0,7100.0,50.0,1116.0,5093.0,0.0,34.0,102.0,463.0,1638.0,746.0,1659.0,3785.0,42296.0,16045.0,43.0,3.0,456.0,2148.0,9288.0,1193.0,0.0,209.0,11907.0,64100.0,0.0,80.0,3088.0
2022-05-05 00:00:00,368.0,0.0,0.0,0.0,7072.0,0.0,376.0,634.0,5530.0,0.0,0.0,115.0,19.0,21432.0,435.0,34.0,9711.0,0.0,2533.0,30628.0,0.0,0.0,5216.0,1184.0,93.0,0.0,0.0,1436.0,0.0,962.0,64.0,53.0,0.0,0.0,258.0,3144.0,47925.0,0.0,89908.0,11.0,0.0,8675.0,0.0,0.0,0.0,153.0,7.0,57.0,0.0,59.0,3275.0,250.0,252.0,491.0,2039.0,47643.0,135.0,21368.0,0.0,198.0,86.0,2.0,215.0,797.0,167.0,0.0,797.0,0.0,27.0,81.0,22.0,20.0,1683.0,0.0,7426.0,0.0,298.0,652.0,0.0,648.0,168.0,912.0,16447.0,5740.0,48.0,831.0,5011.0,0.0,33.0,124.0,589.0,4733.0,553.0,1013.0,15927.0,26714.0,22889.0,34.0,1.0,383.0,2150.0,9790.0,1132.0,0.0,199.0,13319.0,72566.0,0.0,36.0,4305.0
2022-05-06 00:00:00,0.0,0.0,0.0,0.0,5920.0,0.0,658.0,621.0,5220.0,0.0,220.0,0.0,35.0,20072.0,439.0,0.0,4269.0,0.0,3309.0,36540.0,0.0,0.0,0.0,961.0,118.0,0.0,3444.0,1141.0,0.0,872.0,40.0,282.0,0.0,0.0,220.0,2699.0,42203.0,0.0,80424.0,9.0,121.0,5650.0,0.0,0.0,0.0,706.0,27.0,19.0,0.0,54.0,3545.0,245.0,228.0,1031.0,1089.0,48715.0,123.0,23615.0,0.0,314.0,64.0,5.0,197.0,543.0,122.0,2022.0,756.0,0.0,17.0,66.0,58.0,0.0,1714.0,0.0,6744.0,0.0,289.0,1838.0,0.0,692.0,150.0,611.0,15484.0,5778.0,69.0,685.0,5541.0,0.0,27.0,159.0,597.0,3420.0,504.0,742.0,0.0,39552.0,21873.0,17.0,1.0,315.0,1918.0,7705.0,1253.0,0.0,196.0,11672.0,100537.0,0.0,14.0,3819.0
2022-05-07 00:00:00,0.0,0.0,0.0,0.0,6028.0,71.0,680.0,995.0,4969.0,0.0,0.0,60.0,47.0,21682.0,156.0,0.0,4237.0,0.0,3325.0,44907.0,978.0,0.0,0.0,778.0,270.0,0.0,0.0,984.0,0.0,887.0,67.0,288.0,0.0,0.0,186.0,2813.0,37537.0,0.0,67226.0,7.0,0.0,5599.0,0.0,2561.0,0.0,1316.0,15.0,85.0,0.0,69.0,3805.0,218.0,375.0,1147.0,2252.0,44364.0,191.0,34696.0,0.0,336.0,122.0,0.0,218.0,485.0,132.0,0.0,677.0,0.0,19.0,102.0,67.0,2.0,1302.0,0.0,5727.0,0.0,319.0,4036.0,263.0,1163.0,173.0,704.0,17450.0,4909.0,86.0,730.0,5500.0,69.0,38.0,219.0,509.0,3162.0,489.0,756.0,9253.0,40064.0,20808.0,13.0,9.0,281.0,1909.0,8450.0,1743.0,0.0,198.0,10223.0,80010.0,0.0,23.0,3345.0
2022-05-08 00:00:00,0.0,17646.0,0.0,304061.0,5074.0,23.0,641.0,0.0,4488.0,0.0,0.0,83.0,47.0,19725.0,201.0,0.0,3777.0,0.0,3322.0,44817.0,0.0,0.0,0.0,835.0,0.0,0.0,0.0,294.0,0.0,919.0,64.0,263.0,0.0,0.0,86.0,2560.0,37958.0,0.0,26987.0,2.0,0.0,5092.0,0.0,0.0,36.0,0.0,6.0,0.0,0.0,49.0,3451.0,227.0,270.0,889.0,1814.0,40783.0,207.0,40942.0,0.0,178.0,102.0,6.0,37.0,527.0,119.0,0.0,772.0,0.0,13.0,75.0,55.0,10.0,1501.0,0.0,6379.0,0.0,90.0,0.0,0.0,0.0,149.0,199.0,17112.0,4860.0,77.0,590.0,5447.0,0.0,3.0,234.0,428.0,2423.0,234.0,326.0,8524.0,20564.0,20503.0,28.0,0.0,173.0,1182.0,8081.0,1661.0,0.0,191.0,8954.0,95732.0,2817.0,38.0,2269.0
2022-05-09 00:00:00,0.0,0.0,0.0,0.0,3429.0,37.0,0.0,455.0,2247.0,0.0,0.0,73.0,22.0,14622.0,151.0,0.0,8215.0,0.0,3210.0,40772.0,0.0,0.0,0.0,406.0,104.0,0.0,0.0,149.0,208.0,575.0,126.0,164.0,56.0,0.0,33.0,1118.0,29324.0,0.0,13353.0,1.0,0.0,3464.0,0.0,0.0,0.0,610.0,31.0,0.0,0.0,33.0,3207.0,254.0,488.0,1205.0,2604.0,31225.0,167.0,33664.0,0.0,75.0,0.0,0.0,18.0,478.0,70.0,0.0,294.0,413.0,2.0,70.0,0.0,7.0,1247.0,2.0,9182.0,0.0,87.0,2672.0,211.0,300.0,178.0,184.0,13421.0,2526.0,0.0,330.0,5030.0,0.0,2.0,339.0,302.0,2271.0,53.0,200.0,5486.0,49907.0,8591.0,19.0,18.0,70.0,834.0,6488.0,1480.0,3590.0,225.0,7519.0,27518.0,0.0,47.0,2175.0
2022-05-10 00:00:00,0.0,0.0,0.0,0.0,3882.0,16.0,1675.0,394.0,1183.0,0.0,40.0,25.0,10.0,6006.0,624.0,0.0,2806.0,7.0,2025.0,51206.0,0.0,0.0,0.0,57.0,77.0,0.0,0.0,1061.0,0.0,582.0,87.0,76.0,0.0,0.0,317.0,1128.0,7354.0,0.0,84883.0,8.0,0.0,3132.0,0.0,0.0,0.0,78.0,13.0,0.0,0.0,67.0,2288.0,456.0,570.0,524.0,2786.0,17421.0,166.0,39041.0,84.0,291.0,83.0,0.0,302.0,13.0,123.0,0.0,283.0,0.0,24.0,39.0,77.0,4.0,1047.0,298.0,7987.0,36.0,460.0,1615.0,0.0,456.0,126.0,727.0,7394.0,650.0,276.0,385.0,4531.0,0.0,77.0,565.0,516.0,4831.0,349.0,995.0,3237.0,43902.0,7466.0,17.0,0.0,201.0,2498.0,6230.0,1542.0,0.0,233.0,9062.0,31753.0,0.0,77.0,2855.0
